area,floor,h_method,href,huxing,metro,orientation,price,renovation,square,tags,time,title,view
学院路 林大院内,高楼层/6层,整租,/zufang/500026114.html,1室1厅,距离地铁清华东路西口610米,东西,5200元/月,精装,50平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-24,五道口 六道口 林大家属楼一居室出租,近30天带看  3  次
团结湖 白家庄东里,中楼层/6层,整租,/zufang/500020769.html,2室1厅,距离地铁团结湖506米,东北,7500元/月,精装,60平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-22,东三环/朝阳公园，团结湖 临国贸财富，博瑞三里屯,近30天带看  4  次
中关村 新科祥园,低楼层/21层,整租,/zufang/42792838.html,3室1厅,距离地铁中关村665米,东,18500元/月,简装,108平米,"近地铁,拎包入住,集中供暖",2019-04-13,新科祥园，大三居两卫，可居家，可办公，看房方便,近30天带看  39  次
双榆树 双榆树西里,中楼层/16层,整租,/zufang/42787874.html,2室1厅,距离地铁人民大学327米,西北,9500元/月,精装,64.2平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-09,双榆树西里，电梯精装2居，家具家电齐全，拎包入住,近30天带看  23  次
五道口 东王庄小区,中楼层/6层,整租,/zufang/42776695.html,2室1厅,距离地铁清华东路西口419米,南北,7500元/月,简装,74.5平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-07,五道口 东王庄南北通透两居室 采光好看房随时,近30天带看  20  次
望京 慧谷阳光,低楼层/11层,整租,/zufang/42776479.html,3室1厅,距离地铁望京东553米,南北,15000元/月,精装,130平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-07,业主直租！慧谷阳光三居两卫 婚房装修 南北通透 有钥匙随时住,近30天带看  17  次
方庄 芳星园三区,中楼层/25层,整租,/zufang/42776290.html,2室1厅,距离地铁方庄676米,南,6200元/月,简装,66平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-07,芳星园三区 精装两居室 拎包入住 看房方便,近30天带看  30  次
五道口 东王庄小区,顶层/6层,整租,/zufang/500020785.html,2室1厅,距离地铁清华东路西口419米,南北,7200元/月,精装,68.8平米,"近地铁,随时看",2019-04-22,五道口 六道口东王庄精装两居,近30天带看  4  次
杨庄 地铁楼,低楼层/9层,整租,/zufang/500020131.html,1室1厅,距离地铁杨庄707米,南,3600元/月,简装,60平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-21,新上正规一居室 带客厅，朝南，带阳台， 带电梯，看房有钥匙,近30天带看  4  次
草桥 南珠苑,高楼层/21层,整租,/zufang/500017892.html,1室0厅,距离地铁草桥736米,东,4500元/月,精装,45平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-24,草桥南珠苑精装开间  全齐随时入住,近30天带看  1  次
田村 西木小区,底层/7层,整租,/zufang/500017454.html,2室1厅,距离地铁海淀五路居361米,南北,6200元/月,精装,54.1平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-20,海淀区 五路居地铁六号线 南北两居 西木小区,近30天带看  4  次
老山 老山西里,高楼层/16层,整租,/zufang/500017070.html,2室1厅,距离地铁八角游乐园727米,南,4300元/月,简装,60.34平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-19,鲁谷 八角地铁 万达对面 老山西里 两居室带电梯拎包入住,近30天带看  4  次
双榆树 知春里,底层/6层,整租,/zufang/500002924.html,2室1厅,距离地铁海淀黄庄449米,南北,8700元/月,简装,61.2平米,"近地铁,随时看,拎包入住,集中供暖",2019-04-13,中关村知春里 南北通透全明格局看房随时 近地铁 头条房补范围,近30天带看  29  次
苏州桥 海淀南路,中楼层/16层,整租,/zufang/42786872.html,1室1厅,距离地铁海淀黄庄245米,南,5500元/月,精装,59平米,近地铁,2019-04-10,中关村 海淀区 海淀南路 一居室,近30天带看  24  次
